expertise_id,name,category,subcategory,description,keywords,related_expertise
EXP012,Community Health and Preventive Medicine,Healthcare,Public Health,"Outreach programs, epidemiological screening, immunization, and community-level preventative health protocols.",community medicine;preventive health;primary care;ASHA training;health outreach,EXP013;EXP014;EXP015
EXP013,Epidemiology and Infectious Disease Surveillance,Healthcare,Epidemiology,"Tracking, statistical modeling, and containment of vector-borne, water-borne, and endemic disease outbreaks.",disease surveillance;epidemiology;malaria;waterborne infections;tuberculosis;outbreak modeling,EXP002;EXP012;EXP029
EXP014,"Maternal, Newborn, and Child Health (MNCH)",Healthcare,Maternal Health,"Interventions, clinical monitoring, and nutritional tracking for pregnant mothers, neonates, and young children.",maternal mortality;neonatal care;malnutrition;antenatal screening;anemia control,EXP012;EXP016
EXP015,Telemedicine and Remote Diagnostic Systems,Healthcare,Digital Health,Development of low-bandwidth point-of-care teleconsultation and cloud diagnostic platforms for remote primary health centers.,telemedicine;remote consultation;digital health kiosk;portable ECG;e-health,EXP012;EXP031;EXP035
EXP016,Point-of-Care Diagnostic Devices,Healthcare,Biomedical Instrumentation,"Design and validation of rapid, battery-powered diagnostic kits and sensors for field pathology and screening.",rapid test kit;biosensors;point-of-care;paper-based diagnostics;microfluidics,EXP015;EXP032;EXP036
EXP017,Solid Waste Management and Material Recovery,Environment,Waste Management,"Municipal and rural solid waste segregation, composting, RDF processing, and plastic recycling logistics.",solid waste;segregation;composting;plastic waste;landfill remediation;circular economy,EXP004;EXP018;EXP024
EXP018,Industrial and Mine Waste Remediation,Environment,Pollution Abatement,"Stabilization, treatment, and resource recovery from fly ash, mine overburden, tailing ponds, and industrial slag.",fly ash;tailing ponds;mine overburden;heavy metal leaching;industrial slag;acid mine drainage,EXP002;EXP017;EXP020
EXP019,Ambient Air Quality Monitoring and Dust Control,Environment,Air Quality,"Particulate matter monitoring (PM2.5, PM10), gaseous emission tracking, and industrial/mining dust suppression.",air quality;PM2.5;PM10;dust suppression;smog;air pollution sensors,EXP020;EXP031
EXP020,Environmental Impact Assessment and Ecological Restoration,Environment,Environmental Planning,"Baseline EIA, afforestation of degraded lands, ecological risk analysis, and mine land reclamation.",EIA;mine reclamation;afforestation;biodiversity;ecological restoration,EXP011;EXP018;EXP021
EXP021,Remote Sensing for Natural Resource Mapping,Remote Sensing,Satellite Imagery,"Multi-spectral and hyper-spectral satellite image processing for land use, water bodies, and vegetation monitoring.",satellite imagery;multispectral;land use;LULC;NDVI;canopy cover,EXP001;EXP005;EXP022
EXP022,Geographic Information Systems (GIS) and Spatial Analysis,GIS,Spatial Modeling,"Vector/raster geospatial modeling, hazard mapping, urban utility routing, and spatial database management.",GIS;spatial modeling;thematic maps;geodatabase;hazard zonation,EXP021;EXP026;EXP029
EXP023,Decentralized Solar Photovoltaic Systems,Energy,Solar Energy,"Off-grid and mini-grid solar PV design, rooftop arrays, solar agricultural pumps, and hybrid inverters.",solar PV;solar pump;rooftop solar;mini-grid;inverter;photovoltaic,EXP024;EXP032
EXP024,Battery Energy Storage and Battery Management Systems (BMS),Energy,Energy Storage,"Design, thermal monitoring, state-of-charge tracking, and life-cycle management for Li-ion and alternative battery packs.",BMS;battery storage;lithium-ion;charge controller;thermal management;energy storage,EXP023;EXP032
EXP025,Bio-Energy and Rural Biomass Conversion,Energy,Bio-Energy,"Biogas digester design, agricultural residue pelletization, and biomass gasification for rural heating/power.",biogas;biomass gasifier;pellets;crop residue;methane digester,EXP011;EXP017;EXP023
EXP026,Urban Stormwater Drainage and Flood Mitigation,Urban Infrastructure,Drainage Engineering,"Hydrological urban runoff modeling, storm sewer network design, and waterlogging abatement.",waterlogging;stormwater;urban flood;drainage network;runoff modeling,EXP005;EXP022;EXP027
EXP027,Rural Road Infrastructure and Pavement Design,Urban Infrastructure,Transportation,"Low-cost, weather-resilient pavement construction using stabilized soils, geosynthetics, and industrial slag.",rural roads;pavement design;soil stabilization;slag aggregate;all-weather connectivity,EXP018;EXP036
EXP028,Computer Vision and Image Analytics,AI/ML,Computer Vision,"Deep learning models for object detection, medical image segmentation, satellite imagery analysis, and visual inspection.",computer vision;CNN;YOLO;object detection;image segmentation;defect detection,EXP006;EXP021;EXP030
EXP029,Natural Language Processing and Speech Technologies,AI/ML,NLP,"Multilingual text classification, sentiment extraction, speech-to-text, and local dialect translation pipelines.",NLP;speech recognition;multilingual;ASR;text classification;translation;dialect,EXP030;EXP040
EXP030,Machine Learning and Predictive Analytics,AI/ML,Predictive Modeling,"Supervised and unsupervised learning for time-series forecasting, anomaly detection, and classification.",machine learning;predictive analytics;time-series;random forest;clustering;neural networks,EXP028;EXP029;EXP034
EXP031,Internet of Things (IoT) and Sensor Networks,IoT,Wireless Sensing,"Deployment of wireless sensor nodes, LoRaWAN gateways, telemetry, and edge data collection for environmental monitoring.",IoT;sensor node;LoRaWAN;telemetry;edge sensor;wireless sensor network,EXP002;EXP007;EXP019;EXP032
EXP032,Embedded Systems and Firmware Development,IoT,Hardware,"Microcontroller programming (ARM, ESP32), PCB schematic layout, ultra-low-power duty cycling, and hardware interfaces.",embedded systems;microcontroller;ESP32;firmware;PCB design;low power,EXP024;EXP031;EXP033
EXP033,Robotics and Autonomous Unmanned Systems,Robotics,Autonomous Systems,"UAV/drone autopilot systems, robotic rovers for sewer inspection, and agricultural field robotics.",robotics;drones;UAV;autonomous rovers;sewer inspection robot;mechatronics,EXP007;EXP028;EXP032
EXP034,Cloud Computing and Distributed Data Platforms,AI/ML,Data Infrastructure,"Scalable REST APIs, cloud databases, message queues, and high-throughput streaming architectures.",cloud architecture;FastAPI;Node.js;PostgreSQL;microservices;message brokers,EXP030;EXP035
EXP035,Mobile and Web Application Engineering,Software,Application Development,Cross-platform mobile apps (React Native/Flutter) and responsive citizen portals with offline-first caching.,web application;React;mobile apps;offline-first;UI/UX;citizen portal,EXP015;EXP034;EXP041
EXP036,Advanced Materials and Low-Cost Composites,Materials,Material Science,"Polymer composites, nanostructured filtration media, geopolymers, and corrosion-resistant alloys.",nanomaterials;composites;geopolymer;corrosion resistance;adsorbents,EXP003;EXP018;EXP037
EXP037,Rapid Prototyping and Additive Manufacturing,Manufacturing,Prototyping,"3D printing (FDM, SLA), CNC machining, rapid tooling, and CAD simulation for electromechanical prototyping.",rapid prototyping;3D printing;CAD;additive manufacturing;CNC;tooling,EXP032;EXP033;EXP036
EXP038,Agricultural Biotechnology and Tissue Culture,Biotechnology,Plant Biotechnology,"Micropropagation of elite cultivars, molecular disease detection markers, and microbial bio-fertilizers.",tissue culture;biotechnology;bio-fertilizer;molecular markers;micropropagation,EXP006;EXP008;EXP011
EXP039,Environmental Bioremediation,Biotechnology,Bioremediation,Use of microbial consortia and plants (phytoremediation) to degrade organic toxins and stabilize heavy metals in soils and sludge.,bioremediation;phytoremediation;microbial consortium;sludge digestion;heavy metal extraction,EXP004;EXP018;EXP038
EXP040,Vernacular and Digital Education Technologies,Education,EdTech,"Digital pedagogical tools, gamified foundational literacy modules, and mother-tongue curriculum interfaces for tribal students.",EdTech;vernacular learning;tribal education;foundational literacy;gamified learning,EXP029;EXP035;EXP041
EXP041,Assistive Technologies for Accessibility,Accessibility,Assistive Devices,"Tactile, auditory, and screen-reading aids for persons with disabilities (Divyangjan) in resource-constrained environments.",accessibility;assistive devices;screen reader;braille;Divyangjan;mobility aids,EXP029;EXP032;EXP035
EXP042,Rural Livelihood and Tribal Artisanal Value Chains,Rural Livelihood,Livelihood Systems,"Value addition, packaging, quality standardisation, and market linkage for Minor Forest Produce (lac, tendu, mahua, bamboo) and rural crafts.",tribal livelihood;minor forest produce;lac;bamboo crafts;rural enterprises;value chain,EXP011;EXP043;EXP044
EXP043,Supply Chain and Rural Operations Optimization,Management,Operations,"Inventory routing, aggregation center placement, fair price distribution logistics, and cooperative supply chain management.",supply chain;rural logistics;aggregation hub;distribution network;inventory routing,EXP010;EXP030;EXP042
EXP044,Public Policy Evaluation and Socio-Economic Impact Analysis,Economics,Public Policy,"Quantitative econometric baseline and endline evaluations, randomized control trials (RCT), and citizen scheme impact assessments.",public policy;impact assessment;econometrics;policy evaluation;citizen feedback,EXP012;EXP042;EXP045
EXP045,Rural Governance and Community Mobilization,Social Sciences,Community Engagement,"Panchayati Raj institution capacity building, Self-Help Group (SHG) federations, and participatory rural appraisal (PRA).",panchayat;SHG;community mobilization;participatory appraisal;social audit,EXP042;EXP044
