challenge_id,title,description,district,city_or_village,latitude,longitude,domain,subdomain,problem_type,severity,urgency,affected_population,geographic_spread,evidence_quality,community_support,priority_score,required_expertise,status,submitted_by,created_at,data_status
CH011,Uncontrolled Coal Dust and Particulate Emissions along Haulage Corridors,"Continuous open dumper traffic from open-cast pits generates ambient PM10 concentrations above 380 ug/m3, triggering chronic obstructive bronchitis among roadside settlements.",Ramgarh,Patratu Coal Corridor,23.642,85.311,Environment,Air Quality,Industrial Pollution,HIGH,HIGH,28000,18 km industrial transit corridor,HIGH,HIGH,90.0,EXP019;EXP031;EXP020,Validated,USER011,2026-08-20 13:25:00,synthetic_demo
CH012,Exploitative Middlemen Cartels and Price Distress in Lac Harvesting,"Tribal gatherers receiving barely 30% of market value for raw sticklac due to lack of local scraping machines, standardized moisture assaying, and direct buyer linkage.",Khunti,Torpa & Karra Blocks,23.072,85.279,Rural Livelihood,Minor Forest Produce,Livelihood Disruption,HIGH,MEDIUM,19500,Forest periphery villages,HIGH,HIGH,86.0,EXP042;EXP043;EXP044,Validated,USER012,2026-08-21 11:50:00,synthetic_demo
CH013,Language Barrier and Dropouts in Primary Schools of Santhali Pockets,"Primary grade tribal children taught exclusively in Hindi struggle with foundational reading and math comprehension, leading to sharp dropout rates by Class 5.",Godda,Boarijor Tribal Block,24.981,87.382,Education,Vernacular EdTech,Educational Inequality,HIGH,MEDIUM,7400,42 primary schools,HIGH,HIGH,83.0,EXP040;EXP029;EXP035,Validated,USER013,2026-08-22 14:10:00,synthetic_demo
CH014,Acute Water Table Depletion and Borewell Failure in Granitic Terrane,"Intensive unregulated drilling has lowered the unconfined aquifer by over 14 meters in 5 years, leaving 70% of drinking wells dry before peak summer.",Deoghar,Madhupur Sub-division,24.258,86.649,Water,Groundwater,Resource Depletion,CRITICAL,HIGH,31000,Semi-urban & rural block,HIGH,HIGH,91.0,EXP001;EXP005;EXP022,Validated,USER014,2026-08-23 10:05:00,synthetic_demo
CH015,Unsegregated Open Municipal Dumping and Toxic Leachate Seepage,"Over 120 tons/day of mixed municipal refuse dumped adjacent to natural drainage channels without bottom liners, contaminating adjacent shallow domestic wells.",Hazaribagh,Kanojia Dump Site,23.993,85.362,Environment,Solid Waste,Pollution Hazard,HIGH,HIGH,42000,Municipal periphery,HIGH,HIGH,87.5,EXP017;EXP002;EXP004,Validated,USER015,2026-08-24 16:15:00,synthetic_demo
CH016,High Transmission Losses and Frequent Outages in Off-Grid Mini-Grids,"Decentralized solar micro-grids installed in hill villages suffer premature lead-acid battery failures within 18 months, leaving households in total darkness.",Latehar,Mahuadanr Valley,23.398,84.112,Energy,Solar Energy,Infrastructure Failure,MEDIUM,HIGH,4800,4 remote tribal hamlets,HIGH,HIGH,80.0,EXP023;EXP024;EXP031,Validated,USER016,2026-08-25 09:30:00,synthetic_demo
CH017,Severe Soil Erosion and Stream Siltation from Mine Overburden Dumps,"Unconsolidated rock and shale waste mounds collapse during flash downpours, burying lowland paddy fields in toxic sterile grit and choking natural rivers.",Bokaro,Bermo Coalfield Region,23.778,85.952,Environment,Mine Waste,Ecological Hazard,HIGH,HIGH,16500,Riparian farming strip,HIGH,HIGH,89.5,EXP018;EXP020;EXP039,Validated,USER017,2026-08-26 12:45:00,synthetic_demo
CH018,Fall Armyworm (Spodoptera frugiperda) Outbreak in Plateau Maize,"Invasive moth larvae causing whorl damage and stem tunneling across 1,200 acres of kharif maize, resisting conventional broad-spectrum chemical sprays.",Palamu,Chhatarpur Block,24.364,84.189,Agriculture,Crop Disease,Pest Epidemic,HIGH,HIGH,9100,14 village panchayats,HIGH,HIGH,88.5,EXP006;EXP007;EXP038,Validated,USER018,2026-08-27 15:10:00,synthetic_demo
CH019,Lack of Assistive Educational Tools for Visually Impaired Tribal Youth,Blind and low-vision students in regional residential schools lack accessible screen-reading tablets or tactile STEM learning materials in Hindi or local scripts.,Ranchi,Morabadi Special Schools,23.391,85.328,Accessibility,Assistive Devices,Social Exclusion,MEDIUM,MEDIUM,2100,District special institutions,HIGH,HIGH,76.0,EXP041;EXP029;EXP032,Validated,USER019,2026-08-28 11:20:00,synthetic_demo
CH020,Chronic Water Scarcity and Drought Vulnerability in Rainfed Upland Farms,"Monsoon runoff quickly drains away down steep undulating slopes, leaving farms parched within three weeks of rainfall cessation and preventing second rabi cropping.",Simdega,Kolebira Plateau Catchment,22.698,84.698,Water,Watershed,Agronomic Water Deficit,HIGH,MEDIUM,17800,Plateau watershed,HIGH,HIGH,85.0,EXP005;EXP009;EXP021,Validated,USER020,2026-08-29 10:40:00,synthetic_demo
CH021,Low Remuneration and Quality Inconsistencies in Tussar Silk Rearing,Silk cocoon rearers suffer heavy pupal mortality and erratic filament denier due to lack of temperature-humidity monitored rearing sheds and disease disinfection protocols.,Saraikela-Kharsawan,Kuchai Silk Belt,22.712,85.962,Rural Livelihood,Sericulture,Production Loss,MEDIUM,MEDIUM,8900,Traditional weaving belt,HIGH,HIGH,78.5,EXP042;EXP031;EXP043,Validated,USER021,2026-08-30 14:15:00,synthetic_demo
CH022,Under-Immunization and Vaccine Cold-Chain Gaps in Inaccessible Hills,"Breakdowns in vaccine ice-pack carriers during 6-hour foot treks lead to compromised measles and pentavalent vials, leaving infants unprotected.",Garhwa,Bhandaria Hill Pockets,23.951,83.582,Healthcare,Public Health,Supply Chain Vulnerability,CRITICAL,HIGH,6200,Remote hilly tracts,HIGH,HIGH,92.0,EXP012;EXP014;EXP031,Validated,USER022,2026-08-31 09:10:00,synthetic_demo
CH023,Fly Ash Slurry Pipeline Ruptures and Farmland Smothering,"Thermal power plant ash pipelines develop undetected pressure fissures, spewing toxic slurry over 40 acres of fertile multi-cropped alluvial farmland.",Bokaro,Chandrapura Sub-basin,23.751,86.128,Environment,Industrial Waste,Industrial Accident,HIGH,CRITICAL,11500,Agricultural belt along pipeline,HIGH,HIGH,91.5,EXP018;EXP020;EXP031,Validated,USER023,2026-09-01 11:30:00,synthetic_demo
CH024,Subsurface Coal Seam Fires and Toxic Gas Venting into Habitations,Unextinguished century-old underground fires cause surface land subsidence and expel sulfur dioxide and carbon monoxide fumes directly into residential bastis.,Dhanbad,Jharia Fire Zone,23.742,86.415,Environment,Air & Geology,Disaster Threat,CRITICAL,CRITICAL,65000,High-risk subsidence zone,HIGH,HIGH,97.0,EXP019;EXP021;EXP022,Validated,USER024,2026-09-02 08:20:00,synthetic_demo
CH025,Absence of Soil Moisture Sensing Causing Excessive Groundwater Pumping,"Farmers flood vegetable crops on arbitrary schedules using subsidised solar pumps, depleting community aquifer levels and exacerbating soil compaction.",Lohardaga,Kuru Farming Cluster,23.582,84.819,Agriculture,Precision Agriculture,Resource Mismanagement,MEDIUM,MEDIUM,7300,Commercial vegetable cluster,HIGH,MEDIUM,74.0,EXP007;EXP009;EXP031,Validated,USER025,2026-09-02 16:45:00,synthetic_demo
CH026,High Incidence of Chronic Kidney Disease of Unknown Etiology (CKDu),Abnormal prevalence of stage 3/4 renal failure among agricultural laborers with suspected correlations to organophosphate pesticide runoffs and heavy metals in well water.,Giridih,Dumri Rural Belt,23.992,86.012,Healthcare,Epidemiology,Public Health Mystery,CRITICAL,HIGH,12800,Inter-panchayat cluster,HIGH,HIGH,93.0,EXP002;EXP012;EXP013,Validated,USER026,2026-09-03 10:50:00,synthetic_demo
CH027,Severe Deforestation and Illegal Felling in Sal and Mahua Forests,Dense natural sal tracts are undergoing rapid unmonitored clear-cutting along inaccessible ridges due to inadequate patrolling personnel and lack of canopy surveillance.,Chatra,Hunterganj Forest Range,24.352,84.958,Environment,Forestry,Ecological Crime,HIGH,HIGH,8400,"3,500 hectares reserve forest",HIGH,MEDIUM,85.5,EXP021;EXP022;EXP028,Validated,USER027,2026-09-03 15:30:00,synthetic_demo
CH028,Low Digital Literacy Hindering Direct Benefit Transfer (DBT) Scheme Access,Elderly and tribal beneficiaries lose days traveling to bank branches only to face biometric authentication failures and un-reconciled Aadhaar linkages.,Jamtara,Narayanpur Block,23.958,86.812,Digital Public Services,Governance,Administrative Exclusion,MEDIUM,MEDIUM,24000,Block-level panchayats,HIGH,HIGH,76.5,EXP035;EXP044;EXP045,Validated,USER028,2026-09-04 11:00:00,synthetic_demo
CH029,Frequent Wild Elephant Herd Raids on Standing Crops and Settlements,"Disrupted migration corridors lead wild elephant herds into paddy fields and mud houses during nocturnal hours, causing human fatalities and complete harvest destruction.",Latehar,Betla Periphery,23.742,84.195,Environment,Human-Wildlife Conflict,Public Safety & Crop Loss,HIGH,CRITICAL,11200,16 forest corridor villages,HIGH,HIGH,92.0,EXP028;EXP031;EXP033,Validated,USER029,2026-09-04 14:40:00,synthetic_demo
CH030,Erratic Biogas Yield in Community Digesters during Harsh Winters,"Rural dairy farm community digesters stop producing methane between November and February as slurry temperatures plummet below 14 deg C, forcing revert to firewood.",Ranchi,Ormanjhi Dairy Cluster,23.479,85.478,Energy,Bio-Energy,Clean Energy Disruption,LOW,MEDIUM,3600,Dairy cooperative cluster,HIGH,MEDIUM,68.0,EXP025;EXP017;EXP036,Validated,USER030,2026-09-05 09:15:00,synthetic_demo
