department_id,institution_id,department_name,department_type,description,major_domains,official_url,source_url,source_type,last_verified,verification_status,data_status
DEPT011,INST005,Department of Plant Pathology,Academic & Research,"Premier plateau research in fungal and viral crop infections, bio-pesticides, and disease monitoring for regional cultivars.",Crop Pathology;Plant Protection;Bio-control Agents,https://www.bauranchi.org/agriculture-faculty/,https://www.bauranchi.org,official_portal,2026-09-07,verified,verified_real
DEPT012,INST005,Department of Soil Science and Agricultural Chemistry,Academic & Research,"Dedicated to acid soil amelioration, micronutrient mapping, soil organic fertility, and watershed soil health.",Soil Science;Soil Health;Fertility Mapping;Acid Soil Reclamation,https://www.bauranchi.org/agriculture-faculty/,https://www.bauranchi.org,official_portal,2026-09-07,verified,verified_real
DEPT013,INST005,Department of Agricultural Engineering,Academic & Research,"Specializes in micro-irrigation, farm machinery, solar drying, and soil-water conservation structures.",Micro-Irrigation;Farm Mechanization;Post-Harvest Technologies,https://www.bauranchi.org/agriculture-faculty/,https://www.bauranchi.org,official_portal,2026-09-07,verified,verified_real
DEPT014,INST006,Department of Preventive and Social Medicine (PSM / Community Medicine),Clinical & Public Health,"Apex provincial department conducting rural health outreach, epidemiological surveys, and maternal & child health programs.",Community Medicine;Epidemiology;Maternal Health;Preventive Healthcare,https://www.rimsranchi.ac.in/departments.php,https://www.rimsranchi.ac.in,official_portal,2026-09-07,verified,verified_real
DEPT015,INST007,Department of Community and Family Medicine,Clinical & Public Health,"Conducts population health surveillance, rural primary healthcare models, and infectious disease tracking in Santhal Pargana division.",Family Medicine;Epidemiology;Rural Primary Health;Infectious Disease Surveillance,https://www.aiimsdeoghar.edu.in/departments,https://www.aiimsdeoghar.edu.in,official_portal,2026-09-07,verified,verified_real
DEPT016,INST008,Operations Management and Decision Sciences,Academic & Research,"Research in supply chain optimization, rural logistics, procurement networks, and operational analytics.",Supply Chain;Rural Operations;Analytics;Logistics,https://www.iimranchi.ac.in/faculty,https://www.iimranchi.ac.in,official_portal,2026-09-07,verified,verified_real
DEPT017,INST008,Economics and Public Policy,Academic & Research,"Focuses on developmental economics, tribal livelihood evaluation, agricultural market reforms, and public policy impact.",Public Policy;Econometrics;Livelihood Economics;Rural Development,https://www.iimranchi.ac.in/faculty,https://www.iimranchi.ac.in,official_portal,2026-09-07,verified,verified_real
DEPT018,INST009,Department of Computer Science and Engineering,Academic & Research,"Focuses on deep learning, speech recognition, vernacular NLP, and distributed edge computing.",Deep Learning;NLP;Speech Technologies;Computer Vision,https://www.iiitranchi.ac.in/faculty,https://www.iiitranchi.ac.in,official_portal,2026-09-07,verified,verified_real
DEPT019,INST009,Department of Electronics and Communication Engineering,Academic & Research,"Engaged in IoT sensor nodes, embedded firmware, biomedical telemetry, and low-power wireless communication.",IoT;Embedded Systems;Wireless Sensor Networks;Sensors,https://www.iiitranchi.ac.in/faculty,https://www.iiitranchi.ac.in,official_portal,2026-09-07,verified,verified_real
DEPT020,INST010,Department of Environmental Sciences,Academic & Research,"Conducts research on ecological restoration, air pollution assessment, phytoremediation, and tribal environmental sustainability.",Environmental Science;Bioremediation;Air Quality;Ecological Restoration,https://www.cuj.ac.in/DES.php,https://www.cuj.ac.in,official_portal,2026-09-07,verified,verified_real
DEPT021,INST010,Department of Energy Engineering,Academic & Research,"Specializes in solar energy engineering, biomass gasification, and rural mini-grid integration.",Solar PV;Bio-Energy;Energy Storage;Microgrid,https://www.cuj.ac.in/DEE.php,https://www.cuj.ac.in,official_portal,2026-09-07,verified,verified_real
